2026-02-23 15:58:07 install libzvbi-common:all <none> 0.2.44-1
2026-02-23 15:58:07 status half-installed libzvbi-common:all 0.2.44-1
2026-02-23 15:58:07 status unpacked libzvbi-common:all 0.2.44-1
2026-02-23 15:58:07 install libzvbi0t64:amd64 <none> 0.2.44-1
2026-02-23 15:58:07 status half-installed libzvbi0t64:amd64 0.2.44-1
2026-02-23 15:58:07 status unpacked libzvbi0t64:amd64 0.2.44-1
2026-02-23 15:58:07 install libavcodec61:amd64 <none> 7:7.1.3-0+deb13u1
2026-02-23 15:58:07 status half-installed libavcodec61:amd64 7:7.1.3-0+deb13u1
2026-02-23 15:58:07 status unpacked libavcodec61:amd64 7:7.1.3-0+deb13u1
2026-02-23 15:58:07 install libunibreak6:amd64 <none> 6.1-3
2026-02-23 15:58:07 status half-installed libunibreak6:amd64 6.1-3
2026-02-23 15:58:07 status unpacked libunibreak6:amd64 6.1-3
2026-02-23 15:58:07 install libass9:amd64 <none> 1:0.17.3-1+b1
2026-02-23 15:58:07 status half-installed libass9:amd64 1:0.17.3-1+b1
